,Field,Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
2,ag,138,"S Panta, T Flowers, P Lane, R Doyle, G Haros, ...",Halophyte agriculture: success stories,2014,Environmental and …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0098847214001221,"https://scholar.google.com/scholar?cites=273005305761271072&as_sdt=2005&sciodt=0,5&hl=en",1,2019-09-07 23:36:05,,,,,,,,,138,27.6,23,6,5
3,ag,96,"JW O'Leary, EP Glenn, MC Watson",Agricultural production of halophytes irrigated with seawater,1985,Plant and soil,Springer,https://link.springer.com/article/10.1007/BF02182250,"https://scholar.google.com/scholar?cites=18418065053965867491&as_sdt=2005&sciodt=0,5&hl=en",2,2019-09-07 23:36:05,,,,,,,,,96,2.82,32,3,34
4,rest,137,"M Hasanuzzaman, K Nahar, M Alam…",Potential use of halophytes to remediate saline soils,2014,BioMed research …,hindawi.com,https://www.hindawi.com/journals/bmri/2014/589341/abs/,"https://scholar.google.com/scholar?cites=2890475294662861837&as_sdt=2005&sciodt=0,5&hl=en",2,2019-09-07 23:54:23,,,,,,,,,137,27.4,34,4,5
5,rest,46,"HM Hanslin, T Eggen",Salinity tolerance during germination of seashore halophytes and salt-tolerant grass cultivars,2005,Seed Science Research,cambridge.org,https://www.cambridge.org/core/journals/seed-science-research/article/salinity-tolerance-during-germination-of-seashore-halophytes-and-salttolerant-grass-cultivars/EDC77E54917DB623C5930AA8E8D7A96B,"https://scholar.google.com/scholar?cites=12187958697668688721&as_sdt=2005&sciodt=0,5&hl=en",3,2019-09-07 23:54:23,,,,,,,,,46,3.29,23,2,14
6,ag,120,"J Rozema, H Schat","Salt tolerance of halophytes, research questions reviewed in the perspective of saline agriculture",2013,Environmental and Experimental Botany,Elsevier,https://www.sciencedirect.com/science/article/pii/S0098847212001645,"https://scholar.google.com/scholar?cites=12789714861585398583&as_sdt=2005&sciodt=0,5&hl=en",3,2019-09-07 23:36:05,,,,,,,,,120,20,60,2,6
7,rest,25,"NA Anjum, I Ahmad, M Válega, I Mohmood…",Salt marsh halophyte services to metal–metalloid remediation: Assessment of the processes and underlying mechanisms,2014,Critical Reviews in …,Taylor & Francis,https://www.tandfonline.com/doi/abs/10.1080/10643389.2013.828271,"https://scholar.google.com/scholar?cites=327883024788491942&as_sdt=2005&sciodt=0,5&hl=en",4,2019-09-07 23:54:23,,,,,,,,,25,5,5,5,5
8,ag,70,"Y Ventura, A Eshel, D Pasternak, M Sagi",The development of halophyte-based agriculture: past and present,2014,Annals of botany,academic.oup.com,https://academic.oup.com/aob/article-abstract/115/3/529/303789,"https://scholar.google.com/scholar?cites=10646977410023462837&as_sdt=2005&sciodt=0,5&hl=en",4,2019-09-07 23:36:05,,,,,,,,,70,14,18,4,5
9,rest,385,"TJ Flowers, HK Galal, L Bromham",Evolution of halophytes: multiple origins of salt tolerance in land plants,2010,Functional Plant Biology,CSIRO,http://www.publish.csiro.au/fp/fp09269,"https://scholar.google.com/scholar?cites=3654910135480286554&as_sdt=2005&sciodt=0,5&hl=en",5,2019-09-07 23:54:23,,,,,,,,,385,42.78,128,3,9
10,ag,385,"TJ Flowers, HK Galal, L Bromham",Evolution of halophytes: multiple origins of salt tolerance in land plants,2010,Functional Plant Biology,CSIRO,http://www.publish.csiro.au/fp/fp09269,"https://scholar.google.com/scholar?cites=3654910135480286554&as_sdt=2005&sciodt=0,5&hl=en",5,2019-09-07 23:36:05,,,,,,,,,385,42.78,128,3,9
11,ag,712,"TJ Flowers, MA Hajibagheri, ...",Halophytes,1986,The quarterly review of …,journals.uchicago.edu,https://www.journals.uchicago.edu/doi/abs/10.1086/415032,"https://scholar.google.com/scholar?cites=13467749654948881241&as_sdt=2005&sciodt=0,5&hl=en",6,2019-09-07 23:36:05,,,,,,,,,712,21.58,237,3,33
12,rest,119,"E Manousaki, N Kalogerakis",Halophytes—an emerging trend in phytoremediation,2011,International Journal of …,Taylor & Francis,https://www.tandfonline.com/doi/abs/10.1080/15226514.2010.532241,"https://scholar.google.com/scholar?cites=146109614466632828&as_sdt=2005&sciodt=0,5&hl=en",6,2019-09-07 23:54:23,,,,,,,,,119,14.88,60,2,8
13,rest,10,"L Wang, ZY Zhao, K Zhang, CY Tian",Reclamation and utilization of saline soils in arid northwestern China: A promising halophyte drip-irrigation system,2013,,ACS Publications,https://pubs.acs.org/doi/full/10.1021/es4017415,"https://scholar.google.com/scholar?cites=6472874383638224307&as_sdt=2005&sciodt=0,5&hl=en",7,2019-09-07 23:54:23,HTML,,,,,,,,10,1.67,3,4,6
14,ag,77,"EP Glenn, T Anday, R Chaturvedi, ...","Three halophytes for saline-water agriculture: An oilseed, a forage and a grain crop",2013,Environmental and …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0098847212001153,"https://scholar.google.com/scholar?cites=8327887722711554872&as_sdt=2005&sciodt=0,5&hl=en",7,2019-09-07 23:36:05,,,,,,,,,77,12.83,19,4,6
15,ag,859,"EP Glenn, JJ Brown, E Blumwald",Salt tolerance and crop potential of halophytes,1999,Critical reviews in plant …,Taylor & Francis,https://www.tandfonline.com/doi/abs/10.1080/07352689991309207,"https://scholar.google.com/scholar?cites=13513353004415342623&as_sdt=2005&sciodt=0,5&hl=en",8,2019-09-07 23:36:05,,,,,,,,,859,42.95,286,3,20
16,rest,131,"E Manousaki, N Kalogerakis",Halophytes present new opportunities in phytoremediation of heavy metals and saline soils,2010,Industrial & Engineering Chemistry …,ACS Publications,https://pubs.acs.org/doi/abs/10.1021/ie100270x,"https://scholar.google.com/scholar?cites=10491394220188024450&as_sdt=2005&sciodt=0,5&hl=en",8,2019-09-07 23:54:23,,,,,,,,,131,14.56,66,2,9
17,ag,91,"MA Khan, NC Duke",Halophytes–A resource for the future,2001,Wetlands Ecology and Management,Springer,http://www.springerlink.com/index/h8616081616j0515.pdf,"https://scholar.google.com/scholar?cites=14842462271783442818&as_sdt=2005&sciodt=0,5&hl=en",9,2019-09-07 23:36:05,,,,,,,,,91,5.06,46,2,18
18,rest,25,"S Christofilopoulos, E Syranidou…",The role of halophyte Juncus acutus L. in the remediation of mixed contamination in a hydroponic greenhouse experiment,2016,Journal of Chemical …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/jctb.4939,"https://scholar.google.com/scholar?cites=9847739793910569305&as_sdt=2005&sciodt=0,5&hl=en",9,2019-09-07 23:54:23,,,,,,,,,25,8.33,8,3,3
19,ag,91,J Aronson,Economic halophytes—a global review,1985,Plants for arid lands,Springer,https://link.springer.com/chapter/10.1007/978-94-011-6830-4_13,"https://scholar.google.com/scholar?cites=2901207763740054422&as_sdt=2005&sciodt=0,5&hl=en",10,2019-09-07 23:36:05,,,,,,,,,91,2.68,91,1,34
20,rest,192,"TJ Flowers, TD Colmer",Plant salt tolerance: adaptations in halophytes,2015,Annals of botany,academic.oup.com,https://academic.oup.com/aob/article-abstract/115/3/327/306278,"https://scholar.google.com/scholar?cites=11988292424371266687&as_sdt=2005&sciodt=0,5&hl=en",10,2019-09-07 23:54:23,,,,,,,,,192,48,96,2,4
100,rest,83,"CH Keiffer, IA Ungar",Germination and establishment of halophytes on brine‐affected soils,2002,Journal of Applied Ecology,Wiley Online Library,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-2664.2002.00720.x,"https://scholar.google.com/scholar?cites=729598043818106893&as_sdt=2005&sciodt=0,5&hl=en",11,2019-09-07 23:54:23,,,,,,,,,83,4.88,42,2,17
238,ag,81,"CJ Ruan, H Li, YQ Guo, P Qin, JL Gallagher, ...","Kosteletzkya virginica, an agroecoengineering halophytic species for alternative agricultural production in China's east coast: Ecological adaptation and benefits, seed …",2008,Ecological …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0925857408000189,"https://scholar.google.com/scholar?cites=6524400389804614298&as_sdt=2005&sciodt=0,5&hl=en",11,2019-09-07 23:36:05,,,,,,,,,81,7.36,14,6,11
104,ag,75,"K Zhao, H Fan, XY Jiang, J Song",Improvement and utilization of saline soil by planting halophytes,2002,Chinese Journal of Applied and …,en.cnki.com.cn,http://en.cnki.com.cn/Article_en/CJFDTotal-YYHS200201005.htm,"https://scholar.google.com/scholar?cites=8346074021341033282&as_sdt=2005&sciodt=0,5&hl=en",12,2019-09-07 23:36:05,,,,,,,,,75,4.41,19,4,17
580,rest,36,"AT Lima, K Mitchell, DW O'Connell, J Verhoeven…","The legacy of surface mining: Remediation, restoration, reclamation and rehabilitation",2016,… Science & Policy,Elsevier,https://www.sciencedirect.com/science/article/pii/S1462901116304518,"https://scholar.google.com/scholar?cites=6756611993279787200&as_sdt=2005&sciodt=0,5&hl=en",12,2019-09-07 23:54:23,,,,,,,,,36,12,7,5,3
318,ag,131,"E Manousaki, N Kalogerakis",Halophytes present new opportunities in phytoremediation of heavy metals and saline soils,2010,Industrial & Engineering Chemistry …,ACS Publications,https://pubs.acs.org/doi/abs/10.1021/ie100270x,"https://scholar.google.com/scholar?cites=10491394220188024450&as_sdt=2005&sciodt=0,5&hl=en",13,2019-09-07 23:36:05,,,,,,,,,131,14.56,66,2,9
479,rest,138,"S Panta, T Flowers, P Lane, R Doyle, G Haros…",Halophyte agriculture: success stories,2014,Environmental and …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0098847214001221,"https://scholar.google.com/scholar?cites=273005305761271072&as_sdt=2005&sciodt=0,5&hl=en",13,2019-09-07 23:54:23,,,,,,,,,138,27.6,23,6,5
71,rest,27,"ZKFLIF Zeng, FANSJFL Tian",HALOPHYTES IN CHINA [J],1999,CHINESE BULLETIN OF BOTANY,en.cnki.com.cn,http://en.cnki.com.cn/Article_en/CJFDTotal-ZWXT903.001.htm,"https://scholar.google.com/scholar?cites=9871884777243603895&as_sdt=2005&sciodt=0,5&hl=en",14,2019-09-07 23:54:23,,,,,,,,,27,1.35,14,2,20
239,ag,79,NP Yensen,Halophyte uses for the twenty-first century,2008,Ecophysiology of high salinity tolerant plants,Springer,https://link.springer.com/chapter/10.1007/1-4020-4018-0_23,"https://scholar.google.com/scholar?cites=11909320010265935843&as_sdt=2005&sciodt=0,5&hl=en",14,2019-09-07 23:36:05,,,,,,,,,79,7.18,79,1,11
420,rest,9,"S Arora, C Bhuva, RB Solanki, GG Rao",Halophytes for bio-saline agro-forestry and phyto-remediation of coastal saline lands,2013,,krishi.icar.gov.in,http://krishi.icar.gov.in/jspui/handle/123456789/7170,"https://scholar.google.com/scholar?cites=17838589535291946836&as_sdt=2005&sciodt=0,5&hl=en",15,2019-09-07 23:54:23,,,,,,,,,9,1.5,2,4,6
514,ag,137,"M Hasanuzzaman, K Nahar, M Alam, ...",Potential use of halophytes to remediate saline soils,2014,BioMed research …,hindawi.com,https://www.hindawi.com/journals/bmri/2014/589341/abs/,"https://scholar.google.com/scholar?cites=2890475294662861837&as_sdt=2005&sciodt=0,5&hl=en",15,2019-09-07 23:36:05,,,,,,,,,137,27.4,34,4,5
211,ag,233,"KC Ravindran, K Venkatesan, V Balakrishnan, ...",Restoration of saline land by halophytes for Indian soils,2007,Soil Biology and …,Elsevier,https://www.sciencedirect.com/science/article/pii/S003807170700079X,"https://scholar.google.com/scholar?cites=9281712283564905713&as_sdt=2005&sciodt=0,5&hl=en",16,2019-09-07 23:36:05,,,,,,,,,233,19.42,58,4,12
480,rest,32,"E Mateos-Naranjo, EM Castellanos…",Zinc tolerance and accumulation in the halophytic species Juncus acutus,2014,… and experimental botany,Elsevier,https://www.sciencedirect.com/science/article/pii/S0098847214000033,"https://scholar.google.com/scholar?cites=6916542988971497804&as_sdt=2005&sciodt=0,5&hl=en",16,2019-09-07 23:54:23,,,,,,,,,32,6.4,11,3,5
240,ag,207,"TD Colmer, TJ Flowers",Flooding tolerance in halophytes,2008,New Phytologist,Wiley Online Library,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-8137.2008.02483.x,"https://scholar.google.com/scholar?cites=15858559193470796844&as_sdt=2005&sciodt=0,5&hl=en",17,2019-09-07 23:36:05,,,,,,,,,207,18.82,104,2,11
581,rest,13,"D Ayyappan, G Sathiyaraj…",Phytoextraction of heavy metals by Sesuvium portulacastrum l. a salt marsh halophyte from tannery effluent,2016,International journal of …,Taylor & Francis,https://www.tandfonline.com/doi/abs/10.1080/15226514.2015.1109606,"https://scholar.google.com/scholar?cites=12234280630954026384&as_sdt=2005&sciodt=0,5&hl=en",17,2019-09-07 23:54:23,,,,,,,,,13,4.33,4,3,3
145,ag,158,"S Lutts, I Lefevre, C Delpérée, S Kivits, ...",Heavy metal accumulation by the halophyte species Mediterranean saltbush,2004,Journal of …,dl.sciencesocieties.org,https://dl.sciencesocieties.org/publications/jeq/abstracts/33/4/1271,"https://scholar.google.com/scholar?cites=12249561998922490850&as_sdt=2005&sciodt=0,5&hl=en",18,2019-09-07 23:36:05,,,,,,,,,158,10.53,32,5,15
582,rest,12,"S Devi, AS Nandwal, R Angrish, SS Arya…",Phytoremediation potential of some halophytic species for soil salinity,2016,International journal …,Taylor & Francis,https://www.tandfonline.com/doi/abs/10.1080/15226514.2015.1131229,"https://scholar.google.com/scholar?cites=10974232784164492538&as_sdt=2005&sciodt=0,5&hl=en",18,2019-09-07 23:54:23,,,,,,,,,12,4,2,5,3
